timezone,temp,humidity,description
2025-02-19 05:40:49,0.76,29,clear sky
2025-02-19 05:49:54,0.76,29,clear sky
2025-02-19 06:41:50,1.76,25,clear sky
2025-02-19 06:53:58,1.76,25,clear sky
2025-02-19 07:27:02,0.76,25,clear sky
2025-02-19 07:39:27,0.76,25,clear sky
2025-02-19 07:52:00,0.76,25,clear sky
2025-02-19 08:39:41,0.76,29,clear sky
2025-02-19 08:52:14,0.76,29,clear sky
2025-02-19 09:30:46,-1.24,29,clear sky
2025-02-19 09:43:08,-1.24,29,clear sky
2025-02-19 09:55:27,-1.24,29,clear sky
2025-02-19 10:38:44,-3.24,39,clear sky
2025-02-19 10:51:05,-3.24,39,clear sky
2025-02-19 11:23:16,-3.24,43,clear sky
2025-02-19 11:38:16,-3.24,43,clear sky
2025-02-19 11:50:34,-3.24,43,clear sky
2025-02-19 13:02:09,-4.24,50,clear sky
2025-02-19 13:35:53,-5.24,50,clear sky
2025-02-19 13:48:20,-5.24,50,clear sky
2025-02-19 14:34:30,-5.24,54,clear sky
2025-02-19 14:47:13,-5.24,54,clear sky
2025-02-19 14:59:16,-5.24,54,clear sky
2025-02-19 15:33:07,-6.24,58,clear sky
2025-02-19 15:45:11,-6.24,58,clear sky
2025-02-19 15:57:17,-6.24,58,clear sky
2025-02-19 16:42:56,-6.24,58,clear sky
2025-02-19 16:54:55,-6.24,58,clear sky
2025-02-19 17:31:53,-8.24,62,clear sky
2025-02-19 17:44:14,-8.24,62,clear sky
2025-02-19 17:56:38,-8.24,62,clear sky
2025-02-19 18:42:50,-8.24,67,clear sky
2025-02-19 18:55:05,-8.24,67,clear sky
2025-02-19 19:20:20,-3.86,41,clear sky
2025-02-19 19:36:47,-9.24,73,clear sky
2025-02-19 19:49:10,-9.24,73,clear sky
2025-02-19 20:31:10,-10.24,85,clear sky
2025-02-19 20:43:24,-10.24,85,clear sky
2025-02-19 20:55:29,-10.24,85,clear sky
2025-02-19 21:26:30,-10.24,85,clear sky
2025-02-19 21:39:23,-10.24,85,clear sky
2025-02-19 21:51:48,-10.24,85,clear sky
2025-02-19 22:30:44,-8.24,73,clear sky
2025-02-19 22:42:38,-8.24,73,clear sky
2025-02-19 22:55:07,-8.24,73,clear sky
2025-02-19 23:27:23,-7.24,73,clear sky
2025-02-19 23:40:07,-7.24,73,clear sky
2025-02-19 23:52:39,-7.24,73,clear sky
2025-02-20 02:53:39,-0.24,32,clear sky
2025-02-20 03:39:30,0.76,29,clear sky
2025-02-20 03:51:33,0.76,29,clear sky
2025-02-20 04:36:09,0.76,29,clear sky
2025-02-20 04:48:15,0.76,29,clear sky
2025-02-20 05:32:20,1.76,27,clear sky
